id,Name,Latitude,Longitude,Region,Image,Url,Description,PlantList,Address,Ecoregionlist
10,Buescher State Park,30.039098,-97.158295,"POST OAK SAVANNAH
", https//tpwd.texas.gov/state-parks/buescher/gallery/ccc-group-picnic-shelter-at-buescher.jpg,https//tpwd.texas.gov/state-parks/buescher," Activities include non-motorized boating (no ramp/small lake); fishing in a stocked lake; nature study; hiking, geocaching; interpretive tours (call the park or check the calendar of events); and biking. The scenic, 12-mile paved road between Buescher and Bastrop state parks, which is winding and hilly, is ideal for biking but should be used only by experienced cyclists. Approximately six miles between the parks is private land; trespassing on private land and camping between parks is not permitted. The park also includes about eight miles of mountain bike/trail riding through pine trees and cedar elms. Swimming is not currently allowed in the park; Bastrop State Park has a swimming pool open seasonally. Canoe rentals are available. We also loan fishing equipment for use in the park.","[326, 341, 401, 427, 452]","
        
        100 Park Road 1E
        
        Smithville, TX 
        78957
    ",[2]
11,Caddo Lake State Park,32.680233,-94.176361,"PINEYWOODS
", https//tpwd.texas.gov/state-parks/caddo-lake/gallery/caddo0049.jpg,https//tpwd.texas.gov/state-parks/caddo-lake," Bald cypress trees draped with Span­ish moss tower over the maze of bayous, sloughs and ponds of Caddo Lake. Paddle these waterways, stay in a historic cabin, or try your luck fishing. Discover an East Texas treasure!","[492, 636]","
        
        245 Park Road 2
        
        Karnack, TX 
        75661
    ",[0]
12,Caprock Canyons State Park & Trailway,34.410296,-101.053264,"ROLLING PLAINS
", https//tpwd.texas.gov/state-parks/caprock-canyons/gallery/caprock_bison-release-_mg_1243a-opti.jpg,https//tpwd.texas.gov/state-parks/caprock-canyons," Wind and water over the eons shaped the rugged beauty of Caprock Canyons State Park in the Panhandle of Texas. Today, bison roam the plains, bats roost in Clarity Tunnel, and you can explore 90 miles of trails.",[],"
        
        P.O. Box 204
        
        Quitaque, TX 
        79255
    ",[7]
13,Cedar Hill State Park,32.621721,-96.979087,"BLACKLAND PRAIRIES
", https//tpwd.texas.gov/state-parks/cedar-hill/gallery/cedar_hill_sp_u8e9357-opti.jpg,https//tpwd.texas.gov/state-parks/cedar-hill," Relax by the lake, tour an old Texas farm, or explore our rugged limestone hills and rare prairie pockets. Though we’re just a short drive from the DFW Metroplex, it feels like you’re a world away from the city.","[67, 68, 71, 82, 114, 205, 230, 250, 259, 260, 285, 286, 305, 324, 327, 365, 433, 435, 465, 473, 474, 513, 524, 615, 681, 695]","
        
        1570 West FM 1382
        
        Cedar Hill, TX 
        75104
    ",[3]
14,Choke Canyon State Park,28.465773,-98.354195,"SOUTH TEXAS PLAINS
", https//tpwd.texas.gov/state-parks/choke-canyon/gallery/spg-cvr_7792.jpg,https//tpwd.texas.gov/state-parks/choke-canyon," Watch the sun rise over the lake while birds sing in the brush. Spend the day casting for your next big fish story. Come see us on the shore of Choke Canyon Res­er­voir, between San Antonio and Corpus Christi.",[],"
        
        P. O. Box 2
        
        Calliham, TX 
        78007
    ",[5]
15,Cleburne State Park,32.252365,-97.549617,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/cleburne/gallery/sunrise-on-cedar-lake-at-cleburne-sp.jpg,https//tpwd.texas.gov/state-parks/cleburne," A spring-fed lake, trails through the forest, quiet camp­sites – what more do you need? Get away from hectic city life at Cleburne State Park, just 30 minutes south­west of Fort Worth on the northern edge of the Hill Country.","[39, 71, 250, 329, 365, 433, 465, 615, 681]","
        
        5800 Park Road 21
        
        Cleburne, TX 
        76033
    ",[4]
16,Colorado Bend State Park,31.022965,-98.442401,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/colorado-bend/gallery/colorado-bend_4926_30.jpg,https//tpwd.texas.gov/state-parks/colorado-bend, Spend a weekend exploring the unspoiled wilderness of Colorado Bend. We’re two hours northwest of Austin.,"[49, 446, 529]","
        
        P. O. Box 118
        
        Bend, TX 
        76824
    ",[4]
17,Cooper Lake State Park,33.3487,-95.663677,"BLACKLAND PRAIRIES
", https//tpwd.texas.gov/state-parks/cooper-lake/gallery/cooper_lake_sp_swim.jpg,https//tpwd.texas.gov/state-parks/cooper-lake," With two park units, you’ll find plenty of room to roam. Bring your fishing pole, your hiking shoes, your horse, your swimsuit–or heck, just bring yourself! We’re only 90 minutes northeast of Dallas.",[172],"
        
          Doctors Creek Unit
          
        
        1664 FM 1529 South
        
        Cooper, TX 
        75432
    ",[3]
18,Copper Breaks State Park,34.112176,-99.743296,"ROLLING PLAINS
", https//tpwd.texas.gov/state-parks/copper-breaks/gallery/copper-breaks_0193.jpg,https//tpwd.texas.gov/state-parks/copper-breaks," Activities include camping, picnicking, boating, fishing, mountain biking, swimming, wildlife viewing, backpacking, kite flying, summer educational/interpretive programs, astronomy, natural and historical exhibits. A portion of the official Texas longhorn herd is at the park.",[143],"
        
        777 Park Road 62
        
        Quanah, TX 
        79252-7679
    ",[7]
19,Daingerfield State Park,33.013,-94.690587,"PINEYWOODS
", https//tpwd.texas.gov/state-parks/daingerfield/gallery/daingerfield_sp-img_0347.jpg,https//tpwd.texas.gov/state-parks/daingerfield," Tall trees reach for the sky in the north­east corner of Texas. Explore life in the forest at Daingerfield State Park as you wander the trails, paddle Little Pine Lake, or relax at your campsite.",[492],"
        
        455 Park Road 17
        
        Daingerfield, TX 
        75638
    ",[0]
20,Davis Mountains State Park,30.599103,-103.92945,"TRANS-PECOS
", https//tpwd.texas.gov/state-parks/davis-mountains/gallery/davis-mnts_3026.jpg,https//tpwd.texas.gov/state-parks/davis-mountains," High in the mountains of West Texas you will find a beautiful and historic park. Explore Davis Mountains State Park’s miles of trails, stay up late to marvel at the night sky, learn about the history of the park and nearby frontier fort. It’s worth the drive!",[],"
        
        P.O. Box 1707
        
        Fort Davis, TX 
        79734
    ",[9]
21,Devils River State Natural Area,29.939694,-100.970206,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/devils-river/gallery/devils-river_7804.jpg,https//tpwd.texas.gov/state-parks/devils-river," In southwest Texas, far from all cities and most people, lies one of the most pristine rivers in Texas. Clear spring-fed water tumbles past rugged ridges, scenic canyons and brushy banks. It’s not easy to get here, but it’s worth the effort.","[278, 412, 621, 697, 739, 742]","
        
        21715 Dolan Creek Rd.
        
        Del Rio, TX 
        78840
    ",[6]
22,Dinosaur Valley State Park,32.246194,-97.813375,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/dinosaur-valley/gallery/DSVSP_opti_9758_05.jpg,https//tpwd.texas.gov/state-parks/dinosaur-valley," Long ago, dinosaurs left footprints in the mud at the edge of an ancient ocean. Today, you can walk in their tracks in the bed of the Paluxy River. This long trip to the past is just a short drive from Fort Worth.","[250, 329, 615]","
        
        1629 Park Rd 59
        
        Glen Rose, TX 
        76043
    ",[4]
23,Eisenhower State Park,33.810339,-96.599971,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/eisenhower/gallery/boy-fishing-at-eisenhower-silhouette.jpg,https//tpwd.texas.gov/state-parks/eisenhower," Adventure awaits on the shores of Lake Texoma! Explore trails along high bluffs, splash at our sandy swimming cove, or fish for striped bass, crappie and catfish. Connect to nature just an hour north of Dallas.","[86, 145, 594, 609]","
        
        50 Park Road 20
        
        Denison, TX 
        75020-4878
    ",[4]
24,Enchanted Rock State Natural Area,30.496033,-98.819952,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/enchanted-rock/gallery/erock_7008.jpg,https//tpwd.texas.gov/state-parks/enchanted-rock, Climb the ancient dome for amazing Hill Country views.,"[30, 31, 49, 62, 276, 400, 461, 511, 529, 741]","
        
        16710 Ranch Rd. 965
        
        Fredericksburg, TX 
        78624
    ",[6]
25,Estero Llano Grande State Park,26.126411,-97.956518,"SOUTH TEXAS PLAINS
", https//tpwd.texas.gov/state-parks/estero-llano-grande/gallery/estero_llano_grande-_mg_2613.jpg,https//tpwd.texas.gov/state-parks/estero-llano-grande," At the geographic center of the World Birding Center network, Estero Llano Grande State Park in Weslaco attracts a spectacular array of South Texas wildlife with its varied landscape of shallow lake, woodlands and thorn forest. Even beginning birders and nature lovers will enjoy exploring this 230 plus-acre refuge, which is convenient to all the Rio Grande Valley has to offer.","[41, 178, 311, 312, 687]","
        
        3301 S. International Blvd. (FM 1015)
        
        Weslaco, TX 
        78596
    ",[5]
26,Fairfield Lake State Park,31.765346,-96.073282,"POST OAK SAVANNAH
", https//tpwd.texas.gov/state-parks/fairfield-lake/gallery/lake-fairfield-redfish242.jpg,https//tpwd.texas.gov/state-parks/fairfield-lake," Activities include camping, backpacking, hiking, horseback riding on approximately 15 miles of day-use equestrian trails (bring your own horse), nature study, bird watching, boating on a 2,400-acre lake, water skiing, jet skiing, fishing, and lake swimming in a large, buoyed sandy area. Take a virtual tour with our interactive trails map.",[799],"
        
        123 State Park Road 64
        
        Fairfield, TX 
        75840
    ",[2]
27,Falcon State Park,26.582801,-99.142716,SOUTH TEXAS PLAINS, https//tpwd.texas.gov/state-parks/falcon/gallery/falcon_sp_8768.jpg,https//tpwd.texas.gov/state-parks/falcon, Falcon State Park provides refuge from the cold for both humans and wildlife. But that’s not its only draw. Anglers come here to access one of the best freshwater fishing lakes in South Texas.,"[469, 619]","
        
        P. O. Box 2
        
        Falcon Heights, TX 
        78545
    ",[5]
28,Fort Boggy State Park,31.187372,-95.976646,"POST OAK SAVANNAH
", https//tpwd.texas.gov/state-parks/fort-boggy/gallery/fort-boggy_1388.jpg,https//tpwd.texas.gov/state-parks/fort-boggy," Swimming, fishing, hiking and mountain biking are allowed. There is a boat ramp and the 15-acre lake is open to small boats, canoes, kayaks, etc. The park also has a day use group pavilion, that can be reserved.",[799],"
        
        4994 Highway 75 South
        
        Centerville, TX 
        75833
    ",[2]
29,Fort Parker State Park,31.592347,-96.526655,"BLACKLAND PRAIRIES
", https//tpwd.texas.gov/state-parks/fort-parker/gallery/fort-parker-sunset-1.jpg,https//tpwd.texas.gov/state-parks/fort-parker," Fort Parker offers camping, picnicking, swimming in an unsupervised swimming area, fishing, bird watching, hiking, biking, canoeing, nature study and baseball/softball.",[],"
        
        194 Park Road 28
        
        Mexia, TX 
        76667
    ",[3]
30,Fort Richardson State Park,33.206158,-98.156966,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/fort-richardson/gallery/ft-richardson-hospital_996.04.jpg,https//tpwd.texas.gov/state-parks/fort-richardson," Fort site structures include seven of the original buildings which have been restored  the post hospital; the officer's quarters (commanding officer); a powder magazine; a morgue; a commissary; a guard house; and a bakery, which baked 600 loaves per day. There are also two replicas","[453, 593, 791, 803]","
        
        228 State Park Road 61
        
        Jacksboro, TX 
        76458
    ",[4]
31,Franklin Mountains State Park,31.842388,-106.486444,"TRANS-PECOS
", https//tpwd.texas.gov/state-parks/franklin-mountains/gallery/franklin-mts-entrance.jpg,https//tpwd.texas.gov/state-parks/franklin-mountains," The Franklin Mountains provided most of the basic necessities of life for early people here. Today, the mountains meet a different human need – our need for time in nature. Come explore these high-desert mountains, just 15 minutes from El Paso.","[12, 236, 319, 332, 471, 491, 690, 691, 714, 728, 749, 750]","
        
          Park HQ
          
        
        1331 McKelligon Canyon Road
        
        El Paso, TX 
        79930
    ",[9]
32,Galveston Island State Park,29.19356,-94.954025,GULF PRAIRIES AND MARSHES, https//tpwd.texas.gov/state-parks/galveston-island/gallery/galveston_u8e5190.jpg,https//tpwd.texas.gov/state-parks/galveston-island," Come to the island to stroll the beach or splash in the waves. Or come to the island to go fishing or look for coastal birds. No matter what brings you here, you’ll find a refuge at Galveston Island State Park. Just an hour from Houston, but an island apart!",[],"
        
        14901 FM 3005
        
        Galveston, TX 
        77554
    ",[1]
33,Garner State Park,29.598887,-99.743981,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/garner/gallery/GARNER-SP_HDR_3941.jpg,https//tpwd.texas.gov/state-parks/garner," Families enjoy swimming, dancing and hiking",[],"
        
        234 RR 1050
        
        Concan, TX 
        78838
    ",[6]
34,Goliad State Park & Historic Site,28.656544,-97.387265,"SOUTH TEXAS PLAINS
", https//tpwd.texas.gov/state-parks/goliad/gallery/goliad-sp-hs_5690.jpg,https//tpwd.texas.gov/state-parks/goliad," Native Americans, Spanish explorers and missionaries, Texian soldiers and early settlers walked the land of what is now Goliad State Park and Historic Site in southeast Texas. Follow in their footsteps and peek into Texas’ past.",[],"
        
        108 Park Road 6
        
        Goliad, TX 
        77963-3206
    ",[5]
35,Goose Island State Park,28.133503,-96.98428,GULF PRAIRIES AND MARSHES, https//tpwd.texas.gov/state-parks/goose-island/gallery/goose_island_pier.jpg,https//tpwd.texas.gov/state-parks/goose-island," Lapping water and Gulf breezes  we must be on the coast! Goose Island offers camping, fishing and birding along St. Charles and Aransas bays, north of Corpus Christi.","[374, 416]","
        
        202 S. Palmetto St.
        
        Rockport, TX 
        78382-7965
    ",[1]
36,Government Canyon State Natural Area,29.549316,-98.764715,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/government-canyon/gallery/gov-canyon-panoramic.jpg,https//tpwd.texas.gov/state-parks/government-canyon," On the north side of San Antonio lies a 12,000-acre wil­der­ness that protects the city’s drinking water. You’ll find your own “Recharge Zone” in this vast urban refuge.","[247, 276, 323, 771]","
        
        12861 Galm Rd
        
        San Antonio, TX 
        78254
    ",[6]
37,Guadalupe River State Park,29.853084,-98.504463,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/guadalupe-river/gallery/GRSP_river.jpg,https//tpwd.texas.gov/state-parks/guadalupe-river," Many folks come here to swim, but the park is more than a great swimming hole. Beautiful scenery and colorful history await, just a short drive from San Antonio and Austin.","[32, 33, 163, 164, 247, 323, 398, 771]","
        
        3350 Park Road 31
        
        Spring Branch, TX 
        78070
    ",[6]
38,Hill Country State Natural Area,29.628034,-99.181086,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/hill-country/gallery/hillcountry003.jpg,https//tpwd.texas.gov/state-parks/hill-country," Explore over 5,000 acres of rugged canyons, scenic plateaus and tranquil creek bottoms at this former ranch northwest of San Antonio. Escape from the bustle of modern life to a more relaxed time and place.","[30, 31, 276, 400, 511, 741]","
        
        10600 Bandera Creek Road
        
        Bandera, TX 
        78003
    ",[6]
39,Hueco Tanks State Park & Historic Site,31.926453,-106.042437,"TRANS-PECOS
", https//tpwd.texas.gov/state-parks/hueco-tanks/gallery/peopletop.jpg,https//tpwd.texas.gov/state-parks/hueco-tanks," For thousands of years, people have trekked to these rock hills in far west Texas. In earlier times, they came for the rainwater pooled in natural rock basins, or huecos (“whey-coes”). Visitors today marvel at the imagery left by those ancient people.","[236, 471, 491, 690, 691, 728, 749, 750]","
        
        6900 Hueco Tanks Road No. 1
        
        El Paso, TX 
        79938
    ",[9]
40,Huntsville State Park,30.628404,-95.525921,"PINEYWOODS
", https//tpwd.texas.gov/state-parks/huntsville/gallery/huntsville-_mg_5878.jpg,https//tpwd.texas.gov/state-parks/huntsville," Lose yourself among the majestic trees and natural beauty of the East Texas Pineywoods. Rent a canoe, explore our trails or just relax by the lake. We are a short drive north of Houston, in the Sam Houston National Forest.",[],"
        
        565 Park Road 40 W
        
        Huntsville, TX 
        77340
    ",[0]
41,Indian Lodge,30.592638,-103.943469,"TRANS-PECOS
", https//tpwd.texas.gov/state-parks/indian-lodge/gallery/indian-ldg_hdr_1167.jpg,https//tpwd.texas.gov/state-parks/indian-lodge," With its white adobe walls, historic aura, and refreshing pool, Indian Lodge is a welcome oasis in West Texas. Explore the natural beauty of the Davis Mountains by day, and relax in your comfortable room by night.",[],"
        
        P.O. Box 1707
        
        Fort Davis, TX 
        79734
    ",[9]
42,Inks Lake State Park,30.737356,-98.369007,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/inks-lake/gallery/Inks-Lake-69-73.jpg,https//tpwd.texas.gov/state-parks/inks-lake," Inks Lake State Park offers family fun on water and land. With its sparkling blue water, colorful rock outcrops, and striking sunsets, this gem of the Hill Country is just an hour northwest of Austin.","[49, 62, 309, 310, 446, 461, 468, 529]","
        
        3630 Park Road 4 West
        
        Burnet, TX 
        78611
    ",[6]
43,Kickapoo Cavern State Park,29.610016,-100.452465,"EDWARDS PLATEAU
", https//tpwd.texas.gov/state-parks/kickapoo-cavern/gallery/kickapoo-cavern,https//tpwd.texas.gov/state-parks/kickapoo-cavern," Bring a sense of wonder and your spirit of adventure to Kickapoo Cavern State Park. Head west from San An­tonio to explore this lightly-developed park with its many caves, birds, bats, trails and more.",[],"
        
        P.O. Box 705
        
        Brackettville, TX 
        78832
    ",[6]
44,Lake Arrowhead State Park,33.758578,-98.395201,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/lake-arrowhead/gallery/lake-arrowhead_4667.jpg,https//tpwd.texas.gov/state-parks/lake-arrowhead," The park offers fishing, lake swimming on an unsupervised beach, water skiing, disc golf, picnicking, camping, nature study, hiking, horseback riding and boating.","[593, 791]","
        
        229 Park Road 63
        
        Wichita Falls, TX 
        76310
    ",[4]
45,Lake Bob Sandlin State Park,33.053955,-95.099155,"POST OAK SAVANNAH
", https//tpwd.texas.gov/state-parks/lake-bob-sandlin/gallery/lake-bob-sandlin-2189-hiker-mccorkle.jpg,https//tpwd.texas.gov/state-parks/lake-bob-sandlin," Two ecoregions meet here on the shore of Lake Bob Sandlin in northeast Texas. The result massive trees, tall grasses and a fascinating mix of plants and animals. The fishing is pretty good, too!",[],"
        
        341 State Park Road 2117
        
        Pittsburg, TX 
        75686
    ",[2]
46,Lake Brownwood State Park,31.856987,-99.028641,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/lake-brownwood/gallery/lake-brownwood-sp_g4f6825.jpg,https//tpwd.texas.gov/state-parks/lake-brownwood," Civilian Conservation Corps workers spent years building this special park in the heart of Texas. Today, their legacy endures. Stay in a historic cabin, walk the scenic trails, or play in or on the cool lake.",[],"
        
        200 State Highway Park Road 15
        
        Lake Brownwood, TX 
        76801
    ",[4]
47,Lake Casa Blanca State Park,27.539343,-99.451383,"SOUTH TEXAS PLAINS
", https//tpwd.texas.gov/state-parks/lake-casa-blanca/gallery/lk_casa_blanca_9250.jpg,https//tpwd.texas.gov/state-parks/lake-casa-blanca," Lake Casa Blanca is located in Laredo, just minutes from the Mexican border. Here you will find outdoor fun on water and land—and the perfect place for a family outing!",[],"
        
        5102 Bob Bullock Loop
        
        Laredo, TX 
        78041
    ",[5]
48,Lake Colorado City State Park,32.318219,-100.936476,"ROLLING PLAINS
", https//tpwd.texas.gov/state-parks/lake-colorado-city/gallery/lccsp_2090.jpg,https//tpwd.texas.gov/state-parks/lake-colorado-city," Activities include picnicking, camping, fishing, swimming (unsupervised), kayaking/canoeing, hiking, geocaching, nature photography, and birding. Featuring more than five miles of shoreline and 500 acres of parkland bordering the lake. Take a virtual tour with our interactive trails map.",[],"
        
        4582 FM 2836
        
        Colorado City, TX 
        79512
    ",[7]
49,Lake Corpus Christi State Park,28.063101,-97.872178,"GULF PRAIRIES AND MARSHES
", https//tpwd.texas.gov/state-parks/lake-corpus-christi/gallery/lccsp_1071_hdr.jpg,https//tpwd.texas.gov/state-parks/lake-corpus-christi," Families have been enjoying Lake Corpus Christi State Park for more than 80 years. Come for the water sports, varied wildlife and relaxing atmosphere. Leave refreshed!",[],"
        
        P.O. Box 1167
        
        Mathis, TX 
        78368
    ",[1]
50,Lake Livingston State Park,30.656897,-95.001093,"PINEYWOODS
", https//tpwd.texas.gov/state-parks/lake-livingston/gallery/LK-Livingston_3035.jpg,https//tpwd.texas.gov/state-parks/lake-livingston, Make family memories at this Pineywoods park.,[],"
        
        300 Park Road 65
        
        Livingston, TX 
        77351
    ",[0]
51,Lake Mineral Wells State Park & Trailway,32.812655,-98.043368,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/lake-mineral-wells/gallery/lmwsp_overlook_0369.jpg,https//tpwd.texas.gov/state-parks/lake-mineral-wells," Lake Mineral Wells State Park & Trailway sits in the heart of cattle country, near what was once a popular health resort. You will love the area’s history and scenery, but you’ll also enjoy the park’s outdoor amenities  a lake, a rock climbing area, and miles of trails. We are just 45 minutes west of Fort Worth – c’mon over!","[134, 292, 329, 342, 458, 593, 715, 791, 792]","
        
        100 Park Road 71
        
        Mineral Wells, TX 
        76067
    ",[4]
52,Lake Somerville State Park & Trailway,30.308582,-96.634692,"POST OAK SAVANNAH
", https//tpwd.texas.gov/state-parks/lake-somerville/gallery/family-fishing_0053.jpg,https//tpwd.texas.gov/state-parks/lake-somerville," Fishing, camping, mountain biking, birding, hiking – whatever your outdoor passion, you can pursue it here. We’re between Houston and Austin.","[304, 326, 423, 424, 539, 777]","
        
          Birch Creek Unit
          
        
        14222 Park Road 57
        
        Somerville, TX 
        77879-9713
    ",[2]
53,Lake Tawakoni State Park,32.841871,-95.993667,"BLACKLAND PRAIRIES
", https//tpwd.texas.gov/state-parks/lake-tawakoni/gallery/ltsp_154006.jpg,https//tpwd.texas.gov/state-parks/lake-tawakoni," Imagine yourself in the shade of tall trees, listening to birds chirping and water lapping on the shores of Lake Tawakoni. Sounds good, right? Let’s go! Gather your fishing pole, your binoculars, your hiking shoes and your camping gear - we’re just 50 miles east of Dallas.","[20, 93, 464, 495, 508, 723, 772]","
        
        10822 FM 2475
        
        Wills Point, TX 
        75169
    ",[3]
54,Lake Whitney State Park,31.931234,-97.356833,"CROSS TIMBERS AND PRAIRIES
", https//tpwd.texas.gov/state-parks/lake-whitney/gallery/tree-at-sunset.jpg,https//tpwd.texas.gov/state-parks/lake-whitney," Need to get away? Take a short road trip from DFW or Waco to the shores of Lake Whitney. You’ll find clear water, plenty of campsites, and a great place to relax with the family.",[39],"
        
        P.O. Box 1175
        
        Whitney, TX 
        76692
    ",[4]
55,Lockhart State Park,29.855409,-97.697742,"BLACKLAND PRAIRIES
", https//tpwd.texas.gov/state-parks/lockhart/gallery/lockhart-2902.jpg,https//tpwd.texas.gov/state-parks/lockhart," Within easy driving distance of both Austin and San Antonio you’ll find a quiet getaway Lockhart State Park. Come for a morning of golf, an after­noon swim, an evening hike, or an overnight campout. See you soon!","[27, 32, 33, 35, 57, 60, 130, 164, 245, 269, 279, 325, 330, 341, 401, 427, 452, 467, 646, 706, 712, 745]","
        
        2012 State Park Road
        
        Lockhart, TX 
        78644-9716
    ",[3]
